Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Home,1,409,409,409,"0,00","0,000%","2,44499","28,82","1,46","12070,0"
Logo_Icons,1,96,96,96,"0,00","0,000%","10,41667","205,94","4,91","20245,0"
Login,1,350,350,350,"0,00","0,000%","2,85714","36,10","4,78","12939,0"
Personal data,1,307,307,307,"0,00","0,000%","3,25733","36,58","1,85","11499,0"
Wish List,1,192,192,192,"0,00","0,000%","5,20833","53,53","2,97","10525,0"
My orders,1,293,293,293,"0,00","0,000%","3,41297","38,26","6,25","11478,0"
Search,1,1569,1569,1569,"0,00","0,000%",",63735","14,83","0,43","23833,0"
Search jpg,1,261,261,261,"0,00","0,000%","3,83142","206,80","1,17","55269,0"
Logout,1,269,269,269,"0,00","0,000%","3,71747","41,96","6,30","11558,0"
RAZEM,9,416,96,1569,"416,20","0,000%","2,38284","43,80","2,22","18824,0"
