Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /success.txt,118,8656,27,56269,"14949,35","6,780%",",81112","49,10","5,91","61990,9"
2 /success.txt,62,96,28,383,"77,25","0,000%",",43863","0,16","0,13","384,0"
3 /success.txt,62,94,29,453,"73,74","0,000%",",43852","0,16","0,13","384,0"
4 /,62,2802,661,11483,"1807,83","0,000%",",43399","42,97","0,31","101396,7"
5 /success.txt,62,4398,44,42061,"11655,08","8,065%",",43688","0,22","0,12","525,0"
6 /,62,1775,118,21033,"4767,45","4,839%",",43659","0,15","0,75","355,4"
7 /success.txt,62,2801,26,30093,"7569,47","0,000%",",43687","0,16","0,13","384,0"
8 /success.txt,62,240,22,9077,"1136,52","0,000%",",43692","0,16","0,13","384,0"
9 /success.txt,62,86,31,356,"95,16","0,000%",",43694","0,16","0,13","384,0"
10 /success.txt,62,89,29,387,"99,17","0,000%",",43695","0,16","0,13","384,0"
11 /success.txt,62,81,29,379,"93,27","0,000%",",43697","0,16","0,13","384,0"
12 /success.txt,62,78,23,369,"86,75","0,000%",",43703","0,16","0,13","384,0"
13 /success.txt,62,82,27,684,"113,69","0,000%",",43700","0,16","0,13","384,0"
14 /success.txt,62,64,28,611,"84,98","0,000%",",43695","0,16","0,13","384,0"
15 /success.txt,62,57,30,288,"46,56","0,000%",",43684","0,16","0,13","384,0"
16 /success.txt,62,63,28,391,"56,24","0,000%",",43634","0,16","0,13","384,0"
17 /success.txt,62,58,29,456,"56,08","0,000%",",43616","0,16","0,13","384,0"
18 /success.txt,62,59,22,582,"74,83","0,000%",",43552","0,16","0,13","384,0"
20 /success.txt,62,69,28,671,"93,45","0,000%",",43447","0,16","0,13","384,0"
21 /success.txt,62,54,27,354,"49,19","0,000%",",43417","0,16","0,13","384,0"
22 /success.txt,62,68,27,385,"71,78","0,000%",",43401","0,16","0,13","384,0"
19 /,62,1483,306,24507,"3675,18","0,000%",",43229","5,47","0,28","12953,0"
23 /success.txt,62,253,30,9157,"1141,80","0,000%",",43342","0,16","0,13","384,0"
24 /success.txt,62,66,25,201,"47,49","0,000%",",43357","0,16","0,13","384,0"
25 /success.txt,62,71,30,215,"39,92","0,000%",",43354","0,16","0,13","384,0"
26 /success.txt,62,73,29,244,"46,46","0,000%",",43336","0,16","0,13","384,0"
27 /success.txt,62,75,31,177,"39,55","0,000%",",43336","0,16","0,13","384,0"
28 /success.txt,62,73,24,174,"45,18","0,000%",",43336","0,16","0,13","384,0"
29 /success.txt,62,75,28,299,"57,58","0,000%",",43337","0,16","0,13","384,0"
30 /success.txt,62,68,29,200,"45,25","0,000%",",43339","0,16","0,13","384,0"
31 /success.txt,62,73,28,203,"45,71","0,000%",",43338","0,16","0,13","384,0"
32 /success.txt,62,80,29,299,"69,44","0,000%",",43338","0,16","0,13","384,0"
33 /success.txt,62,72,29,256,"48,71","1,613%",",43342","0,18","0,13","421,0"
34 /success.txt,61,71,31,246,"49,51","0,000%",",42662","0,16","0,13","384,0"
35 /success.txt,61,105,28,1963,"245,42","1,639%",",42668","0,18","0,13","421,6"
36 /success.txt,60,71,28,199,"46,18","0,000%",",42002","0,16","0,13","384,0"
37 /success.txt,60,81,23,287,"57,42","0,000%",",42001","0,16","0,13","384,0"
38 /success.txt,60,83,27,394,"72,36","3,333%",",42004","0,19","0,12","460,4"
39 /success.txt,58,77,23,385,"60,94","3,448%",",40613","0,18","0,12","463,0"
40 /success.txt,56,84,28,700,"100,79","0,000%",",39434","0,15","0,12","384,0"
41 /success.txt,56,81,28,752,"107,66","0,000%",",39434","0,15","0,12","384,0"
42 /success.txt,56,451,23,21105,"2786,02","0,000%",",39424","0,15","0,12","384,0"
43 /success.txt,56,131,26,3083,"411,31","0,000%",",39403","0,15","0,12","384,0"
44 /success.txt,112,230,29,9117,"1200,55","0,000%",",78811","0,30","0,24","384,0"
45 /success.txt,112,75,21,649,"97,99","0,000%",",78811","0,30","0,24","384,0"
46 /success.txt,112,60,25,355,"57,62","0,000%",",78818","0,30","0,24","384,0"
47 /success.txt,108,3849,26,24912,"5214,17","0,926%",",75869","40,78","6,37","55042,2"
48 /success.txt,56,124,27,3073,"407,75","0,000%",",39403","0,15","0,12","384,0"
49 /,56,3064,269,21019,"3396,80","3,571%",",39338","37,67","0,28","98045,9"
50 /success.txt,55,397,34,3331,"602,13","0,000%",",39025","0,15","0,12","384,0"
51 /,55,426,113,3148,"669,22","0,000%",",38970","0,10","0,70","265,0"
52 /success.txt,55,109,28,493,"110,72","0,000%",",38988","0,15","0,12","384,0"
53 /success.txt,55,86,24,376,"80,43","0,000%",",38991","0,15","0,12","384,0"
54 /success.txt,55,89,29,400,"84,63","0,000%",",38993","0,15","0,12","384,0"
55 /success.txt,55,82,27,382,"70,52","0,000%",",39001","0,15","0,12","384,0"
56 /success.txt,55,90,27,350,"64,14","0,000%",",38987","0,15","0,12","384,0"
57 /success.txt,55,88,31,364,"75,44","0,000%",",38989","0,15","0,12","384,0"
58 /success.txt,55,91,29,350,"79,34","0,000%",",38991","0,15","0,12","384,0"
59 /success.txt,55,105,28,363,"100,51","0,000%",",38994","0,15","0,12","384,0"
60 /success.txt,55,102,29,388,"95,29","0,000%",",38998","0,15","0,12","384,0"
61 /success.txt,55,102,31,369,"90,16","0,000%",",38999","0,15","0,12","384,0"
62 /success.txt,55,90,29,328,"73,60","0,000%",",38997","0,15","0,12","384,0"
63 /success.txt,55,90,31,324,"68,69","1,818%",",38998","0,16","0,11","425,7"
64 /success.txt,54,80,31,362,"61,60","0,000%",",38334","0,14","0,11","384,0"
65 /success.txt,54,87,31,275,"69,87","0,000%",",38336","0,14","0,11","384,0"
66 /success.txt,54,84,22,368,"69,44","0,000%",",38338","0,14","0,11","384,0"
68 /success.txt,54,89,28,457,"82,07","0,000%",",38341","0,14","0,11","384,0"
67 /,54,159,30,447,"119,83","3,704%",",38342","0,13","0,76","354,3"
69 /,52,109,65,292,"53,09","0,000%",",37246","0,10","0,76","265,0"
70 /success.txt,52,89,27,433,"101,71","0,000%",",37250","0,14","0,11","384,0"
71 /success.txt,52,71,26,336,"72,16","0,000%",",37221","0,14","0,11","384,0"
72 /success.txt,52,186,27,3101,"581,47","0,000%",",37210","0,14","0,11","384,0"
73 /success.txt,52,105,26,1409,"209,94","0,000%",",37216","0,14","0,11","384,0"
74 /success.txt,52,506,27,21202,"2909,26","0,000%",",37234","0,14","0,11","384,0"
75 /success.txt,52,68,23,498,"71,09","0,000%",",37245","0,14","0,11","384,0"
76 /success.txt,52,73,22,366,"65,87","0,000%",",37221","0,14","0,11","384,0"
77 /success.txt,52,64,27,255,"46,95","0,000%",",37252","0,14","0,11","384,0"
78 /success.txt,52,60,27,204,"38,81","0,000%",",37278","0,14","0,11","384,0"
79 /success.txt,52,65,23,167,"41,03","0,000%",",37303","0,14","0,11","384,0"
80 /success.txt,52,64,28,175,"39,92","0,000%",",37312","0,14","0,11","384,0"
81 /success.txt,52,74,25,287,"62,76","0,000%",",37333","0,14","0,11","384,0"
82 /success.txt,52,75,26,311,"62,10","0,000%",",37390","0,14","0,11","384,0"
83 /success.txt,52,82,23,334,"69,07","0,000%",",37450","0,14","0,11","384,0"
84 /success.txt,52,90,29,308,"70,03","0,000%",",37527","0,14","0,11","384,0"
85 /success.txt,52,87,29,335,"66,40","0,000%",",37574","0,14","0,11","384,0"
86 /success.txt,104,123,30,1863,"252,37","0,000%",",75197","0,28","0,23","384,0"
87 /success.txt,104,91,27,330,"70,86","1,923%",",75254","0,31","0,22","428,1"
88 /success.txt,102,126,30,1250,"176,83","0,000%",",75107","0,28","0,23","384,0"
89 /success.txt,102,122,30,540,"116,89","0,000%",",75017","0,28","0,22","384,0"
90 /success.txt,102,104,29,368,"85,71","0,000%",",74983","0,28","0,22","384,0"
91 /success.txt,102,99,29,407,"87,48","0,000%",",74865","0,28","0,22","384,0"
92 /success.txt,102,104,20,508,"105,67","0,000%",",74814","0,28","0,22","384,0"
93 /success.txt,101,2846,27,10206,"3179,83","0,000%",",73229","60,00","1,63","83899,2"
94 /success.txt,51,123,26,606,"130,26","0,000%",",37325","0,14","0,11","384,0"
95 /,51,3729,609,7022,"1954,69","0,000%",",37044","60,10","0,12","166133,5"
97 /success.txt,51,462,31,1805,"363,48","0,000%",",37203","0,14","0,11","384,0"
96 /,51,584,114,9217,"1253,06","1,961%",",37187","0,11","0,65","312,3"
98 /success.txt,50,153,28,714,"166,29","0,000%",",36522","0,14","0,11","384,0"
99 /success.txt,50,160,30,1349,"255,13","0,000%",",36525","0,14","0,11","384,0"
100 /success.txt,50,122,28,607,"127,80","0,000%",",36528","0,14","0,11","384,0"
101 /success.txt,50,108,28,456,"86,46","0,000%",",36530","0,14","0,11","384,0"
102 /success.txt,99,222,27,1325,"193,91","1,010%",",72337","0,47","1,51","669,5"
104 /,49,138,64,383,"76,17","0,000%",",35909","0,09","0,65","265,0"
103 /,49,128,65,679,"96,21","0,000%",",35902","0,09","0,65","265,0"
105 /success.txt,96,981,27,5463,"1223,95","0,000%",",70349","10,10","1,87","14701,0"
106 /success.txt,49,85,26,309,"67,59","0,000%",",35910","0,13","0,11","384,0"
107 /success.txt,49,89,25,451,"86,21","0,000%",",35911","0,13","0,11","384,0"
108 /,49,549,149,2747,"460,78","2,041%",",35882","4,41","0,11","12584,5"
109 /,48,171,4,632,"139,11","2,083%",",35208","0,11","0,60","315,2"
110 /success.txt,47,126,26,464,"110,68","0,000%",",36113","0,14","0,11","384,0"
111 /success.txt,47,85,27,293,"59,12","0,000%",",36103","0,14","0,11","384,0"
112 /success.txt,47,99,29,333,"88,09","0,000%",",36092","0,14","0,11","384,0"
113 /success.txt,47,84,31,390,"68,17","0,000%",",36086","0,14","0,11","384,0"
114 /success.txt,47,87,31,323,"67,34","0,000%",",36068","0,14","0,11","384,0"
115 /success.txt,47,90,30,290,"66,34","0,000%",",36065","0,14","0,11","384,0"
116 /strona/35672,47,292,68,847,"253,22","0,000%",",36019","4,62","0,13","13122,3"
117 /public/kwejk.pl.txt,94,137,55,331,"73,69","0,000%",",72016","0,35","0,31","492,6"
118 /,94,415,73,1395,"322,54","0,000%",",71721","13,95","0,70","19921,3"
120 /success.txt,47,139,25,316,"79,03","0,000%",",35980","0,13","0,11","384,0"
131 /success.txt,47,114,30,474,"81,71","0,000%",",35965","0,13","0,11","384,0"
132 /success.txt,47,100,30,406,"72,97","0,000%",",35944","0,13","0,11","384,0"
133 /strona/35672,47,159,75,292,"62,03","0,000%",",35919","4,60","0,13","13122,5"
RAZEM,7582,509,4,56269,"2824,57","0,448%","51,93329","337,95","36,72","6663,5"
