Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /success.txt,200,6966,19,46833,"9898,18","8,000%",",65583","83,03","4,93","129641,1"
2 /success.txt,102,158,24,9067,"887,85","0,000%",",33478","0,13","0,10","384,0"
3 /success.txt,102,68,27,480,"67,46","0,000%",",33475","0,13","0,10","384,0"
4 /,102,3821,0,21093,"4812,68","15,686%",",33403","27,79","0,20","85182,5"
5 /success.txt,101,1727,26,21135,"5329,21","0,000%",",33597","0,13","0,10","384,0"
6 /,101,336,57,9242,"988,58","0,000%",",33574","0,09","0,60","265,0"
7 /success.txt,101,381,20,21093,"2255,44","0,000%",",33555","0,13","0,10","384,0"
8 /success.txt,101,72,20,397,"66,16","0,000%",",33552","0,13","0,10","384,0"
9 /success.txt,101,71,29,377,"68,51","0,000%",",33544","0,13","0,10","384,0"
10 /success.txt,101,78,28,446,"75,18","0,000%",",33523","0,13","0,10","384,0"
11 /success.txt,101,72,25,335,"65,30","0,000%",",33531","0,13","0,10","384,0"
12 /success.txt,101,86,23,487,"100,25","0,000%",",33526","0,13","0,10","384,0"
13 /success.txt,101,72,23,493,"67,49","0,000%",",33520","0,13","0,10","384,0"
14 /success.txt,101,70,24,457,"62,34","0,000%",",33518","0,13","0,10","384,0"
15 /success.txt,101,71,26,523,"70,33","0,000%",",33518","0,13","0,10","384,0"
16 /success.txt,101,70,29,388,"65,96","0,000%",",33519","0,13","0,10","384,0"
17 /success.txt,101,71,25,439,"66,38","0,000%",",33520","0,13","0,10","384,0"
18 /success.txt,101,81,27,541,"97,06","0,000%",",33520","0,13","0,10","384,0"
20 /success.txt,101,257,29,9232,"1275,06","0,000%",",33517","0,13","0,10","384,0"
21 /success.txt,101,78,29,458,"70,68","0,000%",",33523","0,13","0,10","384,0"
22 /success.txt,101,79,24,458,"71,20","0,000%",",33524","0,13","0,10","384,0"
19 /,101,2881,574,21117,"3481,78","1,980%",",33395","53,18","0,21","163074,8"
23 /success.txt,101,602,31,9316,"1686,73","0,000%",",33455","0,13","0,10","384,0"
24 /success.txt,101,323,22,21088,"2079,59","0,000%",",33452","0,13","0,10","384,0"
25 /success.txt,101,106,29,381,"78,08","0,000%",",33446","0,13","0,10","384,0"
26 /success.txt,101,104,28,411,"82,75","0,000%",",33444","0,13","0,10","384,0"
27 /success.txt,101,103,26,334,"85,58","0,000%",",33440","0,13","0,10","384,0"
28 /success.txt,101,97,29,322,"74,76","0,000%",",33437","0,13","0,10","384,0"
29 /success.txt,101,94,28,345,"70,76","0,000%",",33435","0,13","0,10","384,0"
30 /success.txt,101,99,28,359,"84,15","0,000%",",33400","0,13","0,10","384,0"
31 /success.txt,101,113,27,1326,"176,57","0,000%",",33401","0,13","0,10","384,0"
32 /success.txt,101,178,29,9326,"916,92","0,000%",",33402","0,13","0,10","384,0"
33 /success.txt,101,87,29,400,"66,77","0,000%",",33401","0,13","0,10","384,0"
34 /success.txt,101,85,29,719,"87,43","0,000%",",33402","0,13","0,10","384,0"
35 /success.txt,101,113,30,3078,"306,92","0,000%",",33402","0,13","0,10","384,0"
36 /success.txt,101,114,26,3145,"319,12","0,000%",",33400","0,13","0,10","384,0"
37 /success.txt,101,77,28,287,"59,15","0,000%",",33400","0,13","0,10","384,0"
38 /success.txt,101,85,31,317,"64,78","0,000%",",33402","0,13","0,10","384,0"
39 /success.txt,101,81,17,332,"61,90","1,980%",",33404","0,14","0,10","429,4"
40 /success.txt,99,93,27,1233,"142,62","0,000%",",32755","0,12","0,10","384,0"
41 /success.txt,99,142,2,3208,"441,23","1,010%",",32766","0,13","0,10","407,1"
42 /success.txt,98,108,27,3071,"310,71","0,000%",",32677","0,12","0,10","384,0"
43 /success.txt,98,77,27,637,"82,49","0,000%",",32679","0,12","0,10","384,0"
44 /success.txt,196,100,29,1346,"159,90","0,000%",",65351","0,25","0,20","384,0"
45 /success.txt,196,95,24,1312,"153,95","0,000%",",65417","0,25","0,20","384,0"
46 /success.txt,196,100,22,1367,"152,52","0,000%",",65437","0,25","0,20","384,0"
47 /success.txt,191,4379,21,84351,"9795,86","4,712%",",63486","33,25","5,36","53638,4"
48 /success.txt,98,90,29,1208,"135,97","0,000%",",32708","0,12","0,10","384,0"
49 /,98,2677,0,21126,"3906,29","6,122%",",32594","30,14","0,22","94699,0"
50 /success.txt,97,1247,32,45128,"6431,94","2,062%",",32474","0,13","0,10","420,1"
51 /,97,600,101,9450,"1625,68","1,031%",",32401","0,09","0,58","284,3"
52 /success.txt,96,404,26,9099,"1445,28","0,000%",",32336","0,12","0,10","384,0"
53 /success.txt,96,92,30,284,"64,59","0,000%",",32332","0,12","0,10","384,0"
54 /success.txt,96,95,30,548,"85,99","0,000%",",32331","0,12","0,10","384,0"
55 /success.txt,96,95,30,477,"90,41","0,000%",",32331","0,12","0,10","384,0"
56 /success.txt,96,92,23,549,"93,18","0,000%",",32331","0,12","0,10","384,0"
57 /success.txt,96,116,28,3928,"396,75","0,000%",",32331","0,12","0,10","384,0"
58 /success.txt,96,83,28,1637,"166,11","0,000%",",32328","0,12","0,10","384,0"
59 /success.txt,96,79,28,952,"104,43","0,000%",",32321","0,12","0,10","384,0"
60 /success.txt,96,100,26,1936,"241,59","0,000%",",32320","0,12","0,10","384,0"
61 /success.txt,96,65,22,1020,"103,04","0,000%",",32322","0,12","0,10","384,0"
62 /success.txt,96,72,27,1176,"119,04","0,000%",",32318","0,12","0,10","384,0"
63 /success.txt,96,71,28,546,"74,03","0,000%",",32296","0,12","0,10","384,0"
64 /success.txt,96,69,25,490,"63,10","0,000%",",32287","0,12","0,10","384,0"
65 /success.txt,96,72,22,836,"89,51","0,000%",",32280","0,12","0,10","384,0"
66 /success.txt,96,64,19,263,"46,82","0,000%",",32277","0,12","0,10","384,0"
68 /success.txt,96,65,28,311,"49,29","0,000%",",32274","0,12","0,10","384,0"
67 /,96,552,58,21023,"2985,62","2,083%",",32264","0,10","0,65","303,9"
69 /,96,350,59,21017,"2143,47","1,042%",",32262","0,09","0,66","284,5"
70 /success.txt,96,290,24,21078,"2133,56","0,000%",",32262","0,12","0,10","384,0"
71 /success.txt,96,64,18,290,"48,30","0,000%",",32262","0,12","0,10","384,0"
72 /success.txt,96,73,25,527,"73,80","0,000%",",32208","0,12","0,10","384,0"
73 /success.txt,96,74,21,485,"74,76","1,042%",",32193","0,13","0,10","402,3"
74 /success.txt,95,74,30,604,"79,67","2,105%",",31863","0,13","0,09","421,0"
75 /success.txt,93,69,30,260,"55,57","0,000%",",31309","0,12","0,09","384,0"
76 /success.txt,93,63,28,161,"37,46","0,000%",",31302","0,12","0,09","384,0"
77 /success.txt,93,68,28,278,"52,06","0,000%",",31301","0,12","0,09","384,0"
78 /success.txt,93,73,26,363,"59,73","0,000%",",31298","0,12","0,09","384,0"
