Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /success.txt,392,6503,27,26266,"7151,75","0,000%","1,24346","129,77","9,46","106867,1"
2 /success.txt,200,146,28,1987,"184,54","0,000%",",64082","0,24","0,19","384,0"
3 /success.txt,200,148,28,3081,"239,17","0,000%",",64083","0,24","0,19","384,0"
4 /,200,2716,527,14284,"1673,11","2,000%",",63427","61,39","0,45","99118,3"
5 /success.txt,196,660,29,21085,"1655,18","0,000%",",62429","0,23","0,19","384,0"
6 /,196,458,99,9186,"691,65","0,000%",",62414","0,16","1,12","265,0"
7 /success.txt,196,234,28,3093,"356,72","0,000%",",62435","0,23","0,19","384,0"
8 /success.txt,196,162,26,689,"120,42","0,000%",",62434","0,23","0,19","384,0"
9 /success.txt,196,158,28,895,"114,42","0,000%",",62433","0,23","0,19","384,0"
10 /success.txt,196,166,27,779,"124,41","0,000%",",62425","0,23","0,19","384,0"
11 /success.txt,196,165,29,1978,"165,47","0,000%",",62397","0,23","0,19","384,0"
12 /success.txt,196,163,24,502,"110,07","0,000%",",62365","0,23","0,19","384,0"
13 /success.txt,196,166,23,867,"135,07","0,510%",",62369","0,24","0,19","395,7"
14 /success.txt,195,171,29,1505,"155,94","0,000%",",62253","0,23","0,19","384,0"
15 /success.txt,195,174,27,961,"152,41","0,000%",",62245","0,23","0,19","384,0"
16 /success.txt,195,167,28,1330,"156,39","0,000%",",62243","0,23","0,19","384,0"
17 /success.txt,195,169,28,1714,"173,86","0,000%",",62242","0,23","0,19","384,0"
18 /success.txt,195,160,24,804,"123,94","0,000%",",62240","0,23","0,19","384,0"
20 /success.txt,195,160,27,1041,"137,29","0,000%",",62240","0,23","0,19","384,0"
21 /success.txt,195,180,27,2131,"242,59","0,000%",",62239","0,23","0,19","384,0"
22 /success.txt,195,160,29,953,"133,57","0,000%",",62239","0,23","0,19","384,0"
19 /,195,2926,388,12645,"1695,11","0,513%",",62128","61,03","0,44","100583,8"
23 /success.txt,194,490,29,3387,"661,35","0,000%",",62351","0,23","0,19","384,0"
24 /success.txt,194,175,30,3094,"243,62","0,515%",",62396","0,24","0,19","393,1"
25 /success.txt,193,192,24,9091,"650,25","0,000%",",62244","0,23","0,19","384,0"
26 /success.txt,193,155,28,928,"123,41","0,000%",",62241","0,23","0,19","384,0"
27 /success.txt,193,136,25,976,"114,28","0,000%",",62242","0,23","0,19","384,0"
28 /success.txt,193,145,26,968,"136,04","0,000%",",62237","0,23","0,19","384,0"
29 /success.txt,193,144,27,1172,"130,72","0,000%",",62236","0,23","0,19","384,0"
30 /success.txt,193,169,27,3074,"293,43","0,000%",",62236","0,23","0,19","384,0"
